Fri, May 6, 2022	7:00p	Miami Heat	79	Philadelphia 76ers	99	Box Score		21,033	2:26	Wells Fargo Center	
Fri, May 6, 2022	9:30p	Phoenix Suns	94	Dallas Mavericks	103	Box Score		20,777	2:12	American Airlines Center	
Sat, May 7, 2022	3:30p	Boston Celtics	101	Milwaukee Bucks	103	Box Score		17,736	2:34	Fiserv Forum	
Sat, May 7, 2022	8:30p	Memphis Grizzlies	112	Golden State Warriors	142	Box Score		18,064	2:22	Chase Center	
Sun, May 8, 2022	3:30p	Phoenix Suns	101	Dallas Mavericks	111	Box Score		20,610	2:22	American Airlines Center	
Sun, May 8, 2022	8:00p	Miami Heat	108	Philadelphia 76ers	116	Box Score		21,194	2:34	Wells Fargo Center	
Mon, May 9, 2022	7:30p	Boston Celtics	116	Milwaukee Bucks	108	Box Score		17,505	2:33	Fiserv Forum	
Mon, May 9, 2022	10:00p	Memphis Grizzlies	98	Golden State Warriors	101	Box Score		18,064	2:21	Chase Center	
Tue, May 10, 2022	7:30p	Philadelphia 76ers	85	Miami Heat	120	Box Score		19,868	2:16	FTX Arena	
Tue, May 10, 2022	10:00p	Dallas Mavericks	80	Phoenix Suns	110	Box Score		17,071	2:19	Phoenix Suns Arena	
Wed, May 11, 2022	7:00p	Milwaukee Bucks	110	Boston Celtics	107	Box Score		19,156	2:31	TD Garden	
Wed, May 11, 2022	9:30p	Golden State Warriors	95	Memphis Grizzlies	134	Box Score		17,794	2:14	FedEx Forum	
Thu, May 12, 2022	7:00p	Miami Heat	99	Philadelphia 76ers	90	Box Score		21,082	2:16	Wells Fargo Center	
Thu, May 12, 2022	9:30p	Phoenix Suns	86	Dallas Mavericks	113	Box Score		20,777	2:23	American Airlines Center	
Fri, May 13, 2022	7:30p	Boston Celtics	108	Milwaukee Bucks	95	Box Score		17,681	2:27	Fiserv Forum	
Fri, May 13, 2022	10:00p	Memphis Grizzlies	96	Golden State Warriors	110	Box Score		18,064	2:17	Chase Center	
Sun, May 15, 2022	3:30p	Milwaukee Bucks	81	Boston Celtics	109	Box Score		19,156	2:27	TD Garden	
Sun, May 15, 2022	8:00p	Dallas Mavericks	123	Phoenix Suns	90	Box Score		17,071	2:07	Phoenix Suns Arena	
Tue, May 17, 2022	8:30p	Boston Celtics	107	Miami Heat	118	Box Score		19,774	2:39	FTX Arena	
Wed, May 18, 2022	9:00p	Dallas Mavericks	87	Golden State Warriors	112	Box Score		18,064	2:15	Chase Center	
Thu, May 19, 2022	8:30p	Boston Celtics	127	Miami Heat	102	Box Score		20,100	2:16	FTX Arena	
Fri, May 20, 2022	9:00p	Dallas Mavericks	117	Golden State Warriors	126	Box Score		18,064	2:33	Chase Center	
Sat, May 21, 2022	8:30p	Miami Heat	109	Boston Celtics	103	Box Score		19,156	2:37	TD Garden	
Sun, May 22, 2022	9:00p	Golden State Warriors	109	Dallas Mavericks	100	Box Score		20,813	2:34	American Airlines Center	
Mon, May 23, 2022	8:30p	Miami Heat	82	Boston Celtics	102	Box Score		19,156	2:20	TD Garden	
Tue, May 24, 2022	9:00p	Golden State Warriors	109	Dallas Mavericks	119	Box Score		20,810	2:32	American Airlines Center	
Wed, May 25, 2022	8:30p	Boston Celtics	93	Miami Heat	80	Box Score		19,819	2:20	FTX Arena	
Thu, May 26, 2022	9:00p	Dallas Mavericks	110	Golden State Warriors	120	Box Score		18,064	2:17	Chase Center	
Fri, May 27, 2022	8:30p	Miami Heat	111	Boston Celtics	103	Box Score		19,156	2:41	TD Garden	
Sun, May 29, 2022	8:30p	Boston Celtics	100	Miami Heat	96	Box Score		20,200	2:30	FTX Arena	
Thu, Jun 2, 2022	9:00p	Boston Celtics	120	Golden State Warriors	108	Box Score		18,064	2:19	Chase Center	
Sun, Jun 5, 2022	8:00p	Boston Celtics	88	Golden State Warriors	107	Box Score		18,064	2:28	Chase Center	
Wed, Jun 8, 2022	9:00p	Golden State Warriors	100	Boston Celtics	116	Box Score		19,156	2:26	TD Garden	
Fri, Jun 10, 2022	9:00p	Golden State Warriors	107	Boston Celtics	97	Box Score		19,156	2:21	TD Garden	
Mon, Jun 13, 2022	9:00p	Boston Celtics	94	Golden State Warriors	104	Box Score		18,064	2:27	Chase Center	
Thu, Jun 16, 2022	9:00p	Golden State Warriors	103	Boston Celtics	90	Box Score		19,156	2:20	TD Garden	
